sampler,runtime,error_mean,error_variance
ZZP del = 0.030000000000000006,2450.3323112334,1.3655365482244784e-5,87.48127247385904
ZZP del = 0.030000000000000006,2450.3323112334,4.958558735134114e-6,22.197755274617418
ZZP del = 0.030000000000000006,2450.3323112334,1.007835719238572e-5,9.858647310728232
ZZP del = 0.030000000000000006,2450.3323112334,1.601529214236026e-5,5.62102511148784
ZZP del = 0.030000000000000006,2450.3323112334,1.9314187370425966e-5,3.5891642366624916
ZZP del = 0.030000000000000006,2450.3323112334,1.9793394754154622e-5,2.5017141715271785
ZZP del = 0.030000000000000006,2450.3323112334,2.3789889777525658e-5,1.8261548220998614
ZZP del = 0.030000000000000006,2450.3323112334,2.62239008875334e-5,1.403185680162234
ZZP del = 0.030000000000000006,2450.3323112334,2.9322857000536337e-5,1.1159676925139081
ZZP del = 0.030000000000000006,2450.3323112334,2.836805534426557e-5,0.9111106104735522
ZZP del = 0.030000000000000006,2450.3323112334,3.0423712798332284e-5,0.7460245082582762
ZZP del = 0.030000000000000006,2450.3323112334,3.2530041173901184e-5,0.6311466259006753
ZZP del = 0.030000000000000006,2450.3323112334,3.405554927087271e-5,0.5417010555260028
ZZP del = 0.030000000000000006,2450.3323112334,3.301691162815475e-5,0.4646573538989564
ZZP del = 0.030000000000000006,2450.3323112334,3.234862073484573e-5,0.40666113476569504
ZZP del = 0.030000000000000006,2450.3323112334,3.274628579937872e-5,0.35741974373924684
ZZP del = 0.030000000000000006,2450.3323112334,3.388895723873321e-5,0.3147848035277031
ZZP del = 0.030000000000000006,2450.3323112334,3.295216176762821e-5,0.2788682332017389
ZZP del = 0.030000000000000006,2450.3323112334,3.346270660968733e-5,0.24947219053245165
ZZP del = 0.030000000000000006,2450.3323112334,3.4322587847506215e-5,0.2245000489042109
ZZP del = 0.030000000000000006,2450.3323112334,3.428920632653433e-5,0.20090311468648997
ZZP del = 0.030000000000000006,2450.3323112334,3.478600169208391e-5,0.18301614778519362
ZZP del = 0.030000000000000006,2450.3323112334,3.5691107559224264e-5,0.1686289413485412
ZZP del = 0.030000000000000006,2450.3323112334,3.512190047269051e-5,0.15557908806178433
ZZP del = 0.030000000000000006,2450.3323112334,3.513928949432709e-5,0.14288057179861263
ZZP del = 0.030000000000000006,2450.3323112334,3.550285351127883e-5,0.1335471664918413
ZZP del = 0.030000000000000006,2450.3323112334,3.6387592731652845e-5,0.12285796439229515
ZZP del = 0.030000000000000006,2450.3323112334,3.674716527448911e-5,0.11313334701066124
ZZP del = 0.030000000000000006,2450.3323112334,3.747995651603641e-5,0.10418101406618545
ZZP del = 0.030000000000000006,2450.3323112334,3.7462470775043706e-5,0.0961440224523723
ZZP del = 0.030000000000000006,2450.3323112334,3.713886589606982e-5,0.09061954976536604
ZZP del = 0.030000000000000006,2450.3323112334,3.71750633912347e-5,0.08462536906781695
ZZP del = 0.030000000000000006,2450.3323112334,3.6530412612944325e-5,0.07770298061053972
ZZP del = 0.030000000000000006,2450.3323112334,3.635554106799619e-5,0.07415090362281777
ZZP del = 0.030000000000000006,2450.3323112334,3.631667829123241e-5,0.07004723016272534
ZZP del = 0.030000000000000006,2450.3323112334,3.6090260744531626e-5,0.06657917299666967
ZZP del = 0.030000000000000006,2450.3323112334,3.641836453113791e-5,0.06288778412728735
ZZP del = 0.030000000000000006,2450.3323112334,3.649972869811232e-5,0.05946389830894987
ZZP del = 0.030000000000000006,2450.3323112334,3.642366816044857e-5,0.05561160558655709
ZZP del = 0.030000000000000006,2450.3323112334,3.6295224934027835e-5,0.05321905592833929
ZZP del = 0.030000000000000006,2450.3323112334,3.577557827978573e-5,0.04996444371118515
ZZP del = 0.030000000000000006,2450.3323112334,3.564390527177555e-5,0.047427343590445134
ZZP del = 0.030000000000000006,2450.3323112334,3.56974328939807e-5,0.04513451540477563
ZZP del = 0.030000000000000006,2450.3323112334,3.556022888258465e-5,0.04315987081549509
ZZP del = 0.030000000000000006,2450.3323112334,3.511729176781468e-5,0.04135141037484648
ZZP del = 0.030000000000000006,2450.3323112334,3.553498943973476e-5,0.04002469797319935
ZZP del = 0.030000000000000006,2450.3323112334,3.5759063264078113e-5,0.038362500595338925
ZZP del = 0.030000000000000006,2450.3323112334,3.546682093506168e-5,0.0366038069248007
ZZP del = 0.030000000000000006,2450.3323112334,3.5920139627094814e-5,0.035933371412547516
ZZP del = 0.030000000000000006,2450.3323112334,3.588074423535749e-5,0.03565458779652234
ZZP del = 0.030000000000000006,2450.3323112334,3.5986225416891334e-5,0.034131362535661194
ZZP del = 0.030000000000000006,2450.3323112334,3.579451679829683e-5,0.03286459992446076
ZZP del = 0.030000000000000006,2450.3323112334,3.540128886028275e-5,0.03162746608027933
ZZP del = 0.030000000000000006,2450.3323112334,3.587085049155394e-5,0.03072965057062233
ZZP del = 0.030000000000000006,2450.3323112334,3.5958430388715224e-5,0.029902344117516
ZZP del = 0.030000000000000006,2450.3323112334,3.6045947139214576e-5,0.02887050168207638
ZZP del = 0.030000000000000006,2450.3323112334,3.626685031774168e-5,0.02814537574319202
ZZP del = 0.030000000000000006,2450.3323112334,3.614246173359806e-5,0.02737533865212478
ZZP del = 0.030000000000000006,2450.3323112334,3.650363057294226e-5,0.026896601251291907
ZZP del = 0.030000000000000006,2450.3323112334,3.638120371675403e-5,0.025682169283209065
ZZP del = 0.030000000000000006,2450.3323112334,3.691062028796958e-5,0.02497206210634494
ZZP del = 0.030000000000000006,2450.3323112334,3.662420966892901e-5,0.024330052279583972
ZZP del = 0.030000000000000006,2450.3323112334,3.6385799966100196e-5,0.023431529173141768
ZZP del = 0.030000000000000006,2450.3323112334,3.651895124218504e-5,0.022788913166824586
ZZP del = 0.030000000000000006,2450.3323112334,3.66491949639322e-5,0.022214592980262564
