sampler,runtime,error_mean,error_variance
ZZP del = 0.010000000000000002,72.23252833837,0.002375228321353344,2.0986750018960216
ZZP del = 0.010000000000000002,72.23252833837,0.0006064385176151451,0.5998259077901255
ZZP del = 0.010000000000000002,72.23252833837,0.0003344013074514932,0.2643675739801565
ZZP del = 0.010000000000000002,72.23252833837,0.0002165374748430428,0.1509044516473567
ZZP del = 0.010000000000000002,72.23252833837,0.0001377648478772249,0.10259300262636095
ZZP del = 0.010000000000000002,72.23252833837,0.00012153734146971791,0.07250351486755884
ZZP del = 0.010000000000000002,72.23252833837,9.451509821772253e-5,0.054090774285639735
ZZP del = 0.010000000000000002,72.23252833837,8.414527379517409e-5,0.041987706107965386
ZZP del = 0.010000000000000002,72.23252833837,7.362678703853579e-5,0.03289779833965455
ZZP del = 0.010000000000000002,72.23252833837,6.836359643495958e-5,0.027091925540302587
ZZP del = 0.010000000000000002,72.23252833837,6.277633058431991e-5,0.02306794842116649
ZZP del = 0.010000000000000002,72.23252833837,5.775940086605954e-5,0.01983775051640557
ZZP del = 0.010000000000000002,72.23252833837,5.3045260327185066e-5,0.01710506334282737
ZZP del = 0.010000000000000002,72.23252833837,4.799518243462412e-5,0.01470249344608612
ZZP del = 0.010000000000000002,72.23252833837,4.612508823348428e-5,0.012635910029109956
ZZP del = 0.010000000000000002,72.23252833837,4.400310837803958e-5,0.01135944953475783
ZZP del = 0.010000000000000002,72.23252833837,4.283541965717989e-5,0.0103270334877369
ZZP del = 0.010000000000000002,72.23252833837,4.0633482377646584e-5,0.008969225348115057
ZZP del = 0.010000000000000002,72.23252833837,3.800839166075785e-5,0.00762009581461214
ZZP del = 0.010000000000000002,72.23252833837,3.54034022368216e-5,0.006664235564999954
ZZP del = 0.010000000000000002,72.23252833837,3.178467331609803e-5,0.006181933372735076
ZZP del = 0.010000000000000002,72.23252833837,3.1555882672541725e-5,0.005656667211504175
ZZP del = 0.010000000000000002,72.23252833837,3.158234914688658e-5,0.005052445440428591
ZZP del = 0.010000000000000002,72.23252833837,2.9864946366177746e-5,0.004643255476591766
ZZP del = 0.010000000000000002,72.23252833837,2.9924000716461606e-5,0.0041986017046773925
ZZP del = 0.010000000000000002,72.23252833837,2.8797049137121444e-5,0.004056674637697619
ZZP del = 0.010000000000000002,72.23252833837,2.8096458547983303e-5,0.0037789337992536957
ZZP del = 0.010000000000000002,72.23252833837,2.7828826843414627e-5,0.003542471981128256
ZZP del = 0.010000000000000002,72.23252833837,2.7263772212720522e-5,0.0033218841629916326
ZZP del = 0.010000000000000002,72.23252833837,2.5855309377487793e-5,0.0030947844094232086
ZZP del = 0.010000000000000002,72.23252833837,2.548278425168469e-5,0.0028741686593334115
ZZP del = 0.010000000000000002,72.23252833837,2.5083532159477993e-5,0.002702654489689223
ZZP del = 0.010000000000000002,72.23252833837,2.4214235212354916e-5,0.002490794862123054
ZZP del = 0.010000000000000002,72.23252833837,2.4468407479823172e-5,0.0024511850808311268
ZZP del = 0.010000000000000002,72.23252833837,2.3039320589459108e-5,0.0023417678809636083
ZZP del = 0.010000000000000002,72.23252833837,2.2238594143330522e-5,0.0021571917013769966
ZZP del = 0.010000000000000002,72.23252833837,2.1689858152998818e-5,0.002144619862742423
ZZP del = 0.010000000000000002,72.23252833837,2.09079078215945e-5,0.0020749331942554834
ZZP del = 0.010000000000000002,72.23252833837,2.0206675168224513e-5,0.001995717829007174
ZZP del = 0.010000000000000002,72.23252833837,1.9453365501860272e-5,0.001863187918823344
ZZP del = 0.010000000000000002,72.23252833837,1.9288623764080595e-5,0.0018011241278876016
ZZP del = 0.010000000000000002,72.23252833837,1.9053478119487475e-5,0.0017214353114994648
ZZP del = 0.010000000000000002,72.23252833837,1.843620019381888e-5,0.001641405786883896
ZZP del = 0.010000000000000002,72.23252833837,1.82670430810312e-5,0.0015491783138438294
ZZP del = 0.010000000000000002,72.23252833837,1.7294339681173564e-5,0.0015060000220594439
ZZP del = 0.010000000000000002,72.23252833837,1.6549322182399016e-5,0.0014708437403166603
ZZP del = 0.010000000000000002,72.23252833837,1.5800536826412263e-5,0.0013933818786501806
ZZP del = 0.010000000000000002,72.23252833837,1.5548644415949155e-5,0.001334482808390314
